구간거리_km,운송거리_왕복_km,40FT_안전위탁운임_원,40FT_운수사업자간운임_원,40FT_안전운송운임_원,20FT_안전위탁운임_원,20FT_운수사업자간운임_원,20FT_안전운송운임_원
359,718,930000,995300,1065400,824800,882200,943700
360,720,931900,997400,1067600,826000,883500,945200
361,722,933600,999200,1069700,827500,885100,946900
362,724,935500,1001300,1071900,829000,886800,948700
363,726,937200,1003100,1073900,830300,888200,950300
364,728,939000,1005100,1076000,831700,889800,952000
365,730,940900,1007100,1078200,833200,891400,953800
366,732,942600,1009000,1080300,834400,892700,955200
367,734,944500,1011100,1082500,836000,894400,957100
368,736,946300,1013000,1084600,837300,895900,958700
369,738,948000,1014800,1086600,838700,897400,960400
370,740,949700,1016700,1088600,840100,899000,962100
371,742,951500,1018700,1090800,841400,900400,963600
372,744,953400,1020700,1093000,843000,902100,965500
373,746,955100,1022600,1095000,844300,903500,967100
374,748,956700,1024300,1096900,845600,905000,968700
375,750,958600,1026300,1099100,847100,906600,970500
376,752,960400,1028300,1101300,848200,907800,971800
377,754,962100,1030200,1103300,849800,909600,973700
378,756,963900,1032100,1105400,851100,911000,975300
379,758,965600,1034000,1107400,852400,912400,976900
380,760,967600,1036100,1109700,853900,914100,978700
381,762,969300,1038000,1111800,855100,915400,980100
382,764,970900,1039700,1113700,856700,917100,982000
383,766,972800,1041800,1115900,858100,918700,983700
384,768,974600,1043700,1118000,859300,920000,985200
385,770,976400,1045700,1120100,860800,921700,987000
386,772,978100,1047600,1122200,862100,923000,988500
387,774,980000,1049600,1124400,863700,924800,990400
388,776,981900,1051600,1126600,864900,926100,991900
389,778,983600,1053500,1128600,866300,927700,993600
390,780,985300,1055300,1130600,867600,929100,995200
391,782,987100,1057300,1132800,869000,930600,996800
392,784,988900,1059300,1134900,870300,932000,998400
393,786,990600,1061100,1136900,871800,933700,1000200
394,788,992400,1063000,1139000,873100,935100,1001800
395,790,994100,1064900,1141000,874600,936800,1003600
396,792,996000,1067000,1143300,875800,938100,1005000
397,794,997600,1068700,1145200,877200,939600,1006700
398,796,999200,1070500,1147100,878600,941200,1008400
399,798,1001100,1072500,1149300,880100,942800,1010200
400,800,1002800,1074300,1151300,881300,944100,1011700
401,802,1004500,1076100,1153000,882700,945500,1013100
402,804,1006300,1077900,1154800,884000,946800,1014400
403,806,1008000,1079600,1156500,885400,948300,1015800
404,808,1009800,1081400,1158300,886700,949600,1017100
405,810,1011700,1083300,1160200,888100,951000,1018500
406,812,1013300,1084900,1161800,889300,952200,1019700
407,814,1015000,1086600,1163500,890800,953700,1021200
408,816,1016900,1088500,1165400,892200,955100,1022600
409,818,1018700,1090300,1167200,893500,956400,1023900
410,820,1020400,1092000,1168900,894900,957800,1025300
411,822,1022100,1093700,1170600,896200,959100,1026600
412,824,1023900,1095500,1172400,897600,960500,1028000
413,826,1025700,1097400,1174200,899000,961900,1029400
414,828,1027500,1099200,1176000,900300,963200,1030700
415,830,1029100,1100800,1177600,901600,964500,1032000
416,832,1030900,1102600,1179400,902900,965800,1033300
417,834,1032800,1104500,1181300,904300,967200,1034700
418,836,1034500,1106200,1183000,905700,968600,1036100
419,838,1036000,1107700,1184500,907000,970000,1037400
420,840,1038000,1109700,1186500,908400,971400,1038800
421,842,1039500,1111200,1188000,909700,972700,1040100
422,844,1041200,1112900,1189700,911100,974100,1041500
423,846,1043100,1114800,1191600,912500,975500,1042900
424,848,1044800,1116500,1193300,913800,976800,1044200
425,850,1046500,1118300,1195000,915200,978200,1045600
426,852,1048400,1120200,1196900,916500,979500,1046900
427,854,1050000,1121800,1198500,917800,980800,1048200
428,856,1051900,1123700,1200400,919300,982300,1049700
429,858,1053700,1125500,1202200,920600,983600,1051000
430,860,1055200,1127000,1203700,921800,984800,1052200
